screening_year,age_at_screening,priors,sex,race,recid,compas_recid
2013,34,6,Female,Caucasian,no,high risk
2013,53,1,Male,Caucasian,no,not high risk
2013,25,6,Male,African-American,yes,not high risk
2013,51,2,Male,Hispanic,no,not high risk
2013,55,0,Male,Hispanic,no,not high risk
2014,54,0,Male,Caucasian,no,not high risk
2014,22,0,Male,Other,no,not high risk
2013,55,1,Male,Hispanic,no,not high risk
2013,63,3,Male,African-American,yes,not high risk
2013,35,2,Male,African-American,yes,high risk
2013,42,2,Male,Caucasian,no,not high risk
2014,21,0,Male,African-American,yes,not high risk
2014,31,2,Male,African-American,yes,not high risk
2013,21,1,Female,African-American,no,not high risk
2013,48,1,Male,Caucasian,no,not high risk
2013,35,0,Female,Caucasian,no,not high risk
2013,40,4,Male,Caucasian,no,not high risk
2013,24,0,Male,African-American,no,not high risk
2013,25,0,Female,African-American,no,high risk
2013,40,11,Male,Caucasian,yes,not high risk
2013,35,2,Male,African-American,no,not high risk
2014,24,2,Male,Caucasian,no,not high risk
2013,25,1,Female,African-American,no,high risk
2013,35,15,Male,African-American,no,high risk
2013,26,2,Male,African-American,no,not high risk
2013,41,3,Male,African-American,no,not high risk
2013,25,0,Male,Hispanic,no,not high risk
2013,58,1,Male,Caucasian,no,not high risk
2014,49,0,Female,Caucasian,yes,not high risk
2013,48,0,Male,Caucasian,no,not high risk
2013,45,0,Male,African-American,no,not high risk
2013,27,2,Female,African-American,no,not high risk
2013,39,5,Female,African-American,no,not high risk
2013,33,0,Male,African-American,yes,not high risk
2013,51,11,Male,African-American,no,high risk
2013,20,2,Male,African-American,no,high risk
2014,39,0,Male,African-American,no,not high risk
2013,49,0,Male,Caucasian,no,not high risk
2014,49,0,Male,African-American,no,not high risk
2013,25,1,Male,Caucasian,no,not high risk
2014,28,11,Male,African-American,yes,high risk
2013,26,1,Male,Caucasian,no,not high risk
2013,19,0,Male,African-American,no,not high risk
2013,27,4,Male,African-American,no,not high risk
2013,23,4,Male,Hispanic,no,not high risk
2013,30,14,Male,African-American,no,high risk
2013,24,4,Male,African-American,no,high risk
2013,50,1,Male,Caucasian,no,not high risk
2013,22,0,Male,African-American,no,not high risk
2013,35,0,Female,Other,no,not high risk
2013,38,3,Female,Other,no,not high risk
2014,34,8,Male,Caucasian,yes,not high risk
2014,28,4,Male,Caucasian,no,not high risk
2014,20,3,Male,African-American,yes,high risk
2013,22,1,Female,Caucasian,yes,not high risk
2013,28,0,Female,Hispanic,no,not high risk
2013,20,0,Male,Hispanic,no,high risk
2014,27,1,Male,African-American,no,not high risk
2013,18,1,Male,African-American,yes,high risk
2013,36,0,Male,Other,no,not high risk
2013,25,4,Male,African-American,no,not high risk
2013,28,2,Male,Caucasian,yes,not high risk
2013,35,2,Female,African-American,no,not high risk
2014,18,0,Male,African-American,no,high risk
2013,19,0,Male,Hispanic,no,not high risk
2013,49,0,Female,African-American,no,not high risk
2013,46,0,Female,African-American,no,not high risk
2013,22,0,Male,Caucasian,no,not high risk
2013,24,0,Male,Caucasian,yes,not high risk
2013,20,1,Female,Caucasian,no,not high risk
2014,33,2,Male,African-American,no,high risk
2013,29,2,Male,Caucasian,no,not high risk
2013,38,2,Female,African-American,no,not high risk
2014,23,0,Female,Other,no,not high risk
2013,41,24,Male,African-American,no,not high risk
2013,40,0,Male,African-American,no,not high risk
2014,35,3,Male,Caucasian,no,not high risk
2014,27,3,Male,African-American,yes,not high risk
2013,67,1,Male,Caucasian,no,not high risk
2013,43,3,Male,Caucasian,no,not high risk
2014,24,1,Male,African-American,yes,high risk
2014,32,5,Male,Caucasian,no,not high risk
2013,31,5,Male,African-American,no,not high risk
2013,27,2,Male,African-American,no,not high risk
2013,21,0,Male,Other,no,not high risk
2014,32,1,Male,Caucasian,yes,not high risk
2013,55,2,Male,Caucasian,no,not high risk
2013,18,0,Female,African-American,no,not high risk
2013,19,1,Male,African-American,yes,not high risk
2013,59,0,Male,Caucasian,no,not high risk
2013,34,5,Male,Caucasian,no,not high risk
2013,30,5,Female,African-American,no,not high risk
2013,21,0,Male,Hispanic,no,not high risk
2013,24,0,Male,African-American,no,not high risk
2013,39,0,Female,Caucasian,no,not high risk
2013,21,9,Male,Other,yes,high risk
2014,25,0,Male,African-American,no,not high risk
2014,49,0,Female,Caucasian,no,not high risk
2013,54,0,Male,Caucasian,no,not high risk
2013,26,7,Male,African-American,no,high risk
2013,50,6,Male,Caucasian,no,not high risk
2013,24,8,Male,Caucasian,no,not high risk
2013,21,2,Male,African-American,yes,high risk
2013,25,2,Male,Caucasian,yes,not high risk
2013,42,1,Male,African-American,no,not high risk
2013,18,3,Male,Hispanic,yes,not high risk
2013,33,0,Female,African-American,no,not high risk
2013,20,1,Female,Hispanic,yes,not high risk
2014,26,1,Male,Caucasian,no,not high risk
2013,34,0,Male,Caucasian,no,not high risk
2014,21,0,Male,African-American,no,not high risk
2014,27,0,Male,African-American,no,not high risk
2013,26,0,Female,Caucasian,no,not high risk
2013,49,1,Male,Hispanic,no,not high risk
2013,30,3,Male,Other,no,not high risk
2013,23,2,Female,African-American,no,not high risk
2013,29,12,Male,African-American,yes,high risk
2014,21,1,Male,African-American,no,not high risk
2013,44,3,Male,African-American,no,not high risk
2014,35,0,Male,Caucasian,no,not high risk
2014,25,0,Male,Hispanic,no,high risk
2013,37,0,Male,Other,no,not high risk
2013,18,0,Female,Caucasian,no,not high risk
2013,66,0,Male,Caucasian,no,not high risk
2013,19,2,Male,Caucasian,no,not high risk
2013,19,0,Male,Caucasian,no,not high risk
2013,47,3,Male,African-American,no,not high risk
2013,26,2,Male,African-American,yes,not high risk
2013,58,0,Female,Caucasian,no,not high risk
2013,23,0,Female,African-American,no,high risk
2014,32,2,Male,Hispanic,yes,not high risk
2013,17,1,Female,Other,no,not high risk
2013,33,1,Male,Hispanic,no,not high risk
2013,27,0,Male,Caucasian,no,not high risk
2013,18,1,Male,African-American,yes,not high risk
2013,54,18,Male,African-American,no,high risk
2014,32,1,Male,Caucasian,no,not high risk
2013,51,1,Female,Caucasian,no,not high risk
2013,22,0,Female,African-American,no,not high risk
2013,39,1,Male,African-American,no,not high risk
2013,25,1,Male,African-American,no,not high risk
2014,21,1,Male,Caucasian,no,not high risk
2013,18,4,Male,African-American,yes,high risk
2013,19,3,Male,Caucasian,no,not high risk
2013,33,2,Male,African-American,no,not high risk
2013,50,2,Male,African-American,no,not high risk
2014,58,1,Male,African-American,no,not high risk
2013,26,7,Male,African-American,yes,not high risk
2013,45,23,Male,Caucasian,yes,high risk
2013,48,0,Female,Caucasian,no,not high risk
2013,25,5,Male,African-American,yes,high risk
2013,31,3,Male,Caucasian,no,not high risk
2013,25,0,Female,Hispanic,no,not high risk
2013,25,2,Male,African-American,no,not high risk
2013,23,6,Male,African-American,no,not high risk
2013,22,0,Male,Caucasian,no,not high risk
2013,65,2,Male,Caucasian,no,not high risk
2013,53,5,Male,African-American,no,not high risk
2013,24,9,Male,African-American,yes,high risk
2013,29,3,Male,African-American,no,not high risk
2013,58,4,Male,Other,no,not high risk
2013,20,1,Male,Hispanic,no,not high risk
2013,37,0,Female,Caucasian,no,not high risk
2013,54,0,Male,Caucasian,no,not high risk
2013,19,0,Female,African-American,no,not high risk
2013,50,11,Male,African-American,no,not high risk
2013,18,0,Male,Hispanic,no,not high risk
2014,20,0,Male,Caucasian,no,not high risk
2013,55,2,Female,Caucasian,no,not high risk
2013,39,1,Male,Other,no,not high risk
2014,27,0,Male,Caucasian,yes,not high risk
2013,26,8,Male,African-American,no,high risk
2013,19,3,Male,African-American,no,not high risk
2013,33,0,Male,Caucasian,no,not high risk
2013,24,3,Male,Caucasian,no,not high risk
2013,23,3,Male,African-American,no,not high risk
2013,30,0,Male,Caucasian,no,not high risk
2013,25,2,Male,African-American,no,not high risk
2013,33,2,Male,Caucasian,no,not high risk
2013,21,0,Female,Caucasian,no,not high risk
2013,31,0,Male,Caucasian,no,not high risk
2013,22,2,Male,Hispanic,yes,not high risk
2014,27,2,Male,Hispanic,yes,not high risk
2013,22,1,Male,African-American,yes,not high risk
2013,58,4,Male,Caucasian,no,not high risk
2014,48,3,Female,African-American,no,not high risk
2013,27,1,Male,African-American,no,not high risk
2013,36,5,Male,African-American,no,not high risk
2013,22,0,Male,Caucasian,no,not high risk
2013,42,16,Male,African-American,no,not high risk
2014,19,0,Male,Other,yes,high risk
2013,24,13,Male,African-American,yes,high risk
2013,48,16,Female,African-American,no,high risk
2014,26,1,Male,Caucasian,yes,not high risk
2013,23,10,Male,African-American,yes,high risk
2013,26,5,Male,African-American,no,high risk
2013,60,2,Male,Caucasian,no,not high risk
2013,39,0,Male,African-American,no,not high risk
2013,20,6,Male,African-American,yes,not high risk
2014,51,2,Male,African-American,no,not high risk
2014,33,1,Male,African-American,no,not high risk
2013,18,1,Male,African-American,yes,high risk
2013,48,0,Male,Caucasian,no,not high risk
2013,21,0,Male,Hispanic,no,high risk
2013,34,3,Male,Caucasian,no,not high risk
2014,44,3,Male,Caucasian,no,not high risk
2013,54,0,Male,Caucasian,no,not high risk
2013,32,0,Male,Asian,no,not high risk
2013,55,1,Male,Hispanic,no,not high risk
2013,26,2,Male,Hispanic,no,not high risk
2014,22,6,Female,Caucasian,yes,high risk
2013,18,2,Male,Caucasian,yes,high risk
2013,23,2,Male,African-American,no,high risk
2013,23,1,Male,African-American,no,not high risk
2013,27,0,Female,Caucasian,no,not high risk
2014,27,0,Male,Caucasian,yes,not high risk
2013,51,0,Male,African-American,no,not high risk
2013,26,4,Male,African-American,yes,not high risk
2013,57,0,Female,Caucasian,no,not high risk
2013,35,0,Male,African-American,no,not high risk
2014,27,4,Male,African-American,yes,not high risk
2013,49,20,Male,Hispanic,no,not high risk
2013,24,2,Male,Caucasian,no,not high risk
2013,48,1,Male,Caucasian,no,not high risk
2013,32,1,Male,Caucasian,no,not high risk
2013,23,1,Male,African-American,no,not high risk
2014,50,4,Male,Caucasian,no,not high risk
2013,32,12,Female,African-American,no,not high risk
2013,45,12,Male,Other,no,not high risk
2013,24,0,Female,African-American,no,not high risk
2014,46,0,Female,Caucasian,no,not high risk
2013,28,7,Male,Hispanic,no,not high risk
2013,26,2,Male,Other,no,not high risk
2013,30,2,Male,African-American,no,not high risk
2013,31,6,Female,African-American,no,not high risk
2013,22,0,Male,Other,no,not high risk
2013,21,0,Male,Caucasian,no,not high risk
2013,52,0,Male,African-American,yes,high risk
2014,49,4,Male,African-American,no,not high risk
2013,21,0,Male,Caucasian,no,not high risk
2013,19,0,Male,Caucasian,no,high risk
2013,25,6,Male,Caucasian,yes,not high risk
2013,28,0,Male,African-American,no,not high risk
2014,30,1,Male,Caucasian,yes,not high risk
2013,34,1,Male,Other,no,not high risk
2013,23,0,Male,Caucasian,no,not high risk
2013,28,20,Male,Hispanic,no,high risk
2013,32,0,Male,African-American,no,not high risk
2013,22,9,Male,Caucasian,yes,high risk
2013,44,1,Male,Caucasian,no,not high risk
2013,41,1,Male,African-American,no,not high risk
2013,24,0,Male,African-American,no,not high risk
2013,20,2,Male,Caucasian,no,not high risk
2013,47,1,Female,Hispanic,no,not high risk
2013,40,8,Male,African-American,no,not high risk
2013,55,6,Male,African-American,no,not high risk
2013,22,3,Male,African-American,yes,not high risk
2013,44,0,Female,Other,no,not high risk
2013,18,3,Male,African-American,yes,not high risk
2014,61,1,Male,Caucasian,no,not high risk
2013,20,3,Male,African-American,yes,not high risk
2013,47,3,Male,African-American,no,not high risk
2013,35,0,Male,African-American,no,not high risk
2013,39,1,Male,Caucasian,no,not high risk
2014,26,16,Male,African-American,yes,high risk
2013,27,0,Female,African-American,no,not high risk
2013,20,1,Male,African-American,no,not high risk
2013,37,5,Male,Caucasian,no,not high risk
2013,21,8,Male,Hispanic,no,high risk
2013,42,11,Male,Caucasian,no,not high risk
2013,32,6,Female,African-American,yes,not high risk
2013,39,0,Male,Caucasian,no,not high risk
2014,35,15,Male,African-American,yes,not high risk
2013,23,4,Male,Hispanic,no,not high risk
2013,22,0,Female,African-American,no,not high risk
2013,21,1,Male,Caucasian,no,not high risk
2013,62,1,Male,Hispanic,no,not high risk
2013,43,0,Female,Caucasian,no,not high risk
2013,27,5,Male,African-American,yes,not high risk
2014,20,0,Female,Caucasian,no,not high risk
2013,19,1,Male,Caucasian,no,not high risk
2013,28,0,Male,Hispanic,no,not high risk
2013,28,1,Male,Other,no,not high risk
2013,25,4,Male,African-American,yes,high risk
2013,21,0,Male,African-American,yes,not high risk
2013,18,0,Female,Caucasian,no,not high risk
2013,24,0,Male,African-American,no,not high risk
2013,30,1,Male,Hispanic,no,not high risk
2013,22,0,Female,Caucasian,no,not high risk
2014,17,1,Male,African-American,no,not high risk
2014,26,3,Male,African-American,yes,not high risk
2013,37,0,Male,African-American,no,not high risk
2014,21,11,Male,African-American,yes,high risk
2013,35,1,Female,African-American,no,not high risk
2013,27,1,Male,African-American,no,not high risk
2014,25,6,Male,Caucasian,yes,not high risk
2013,41,1,Male,African-American,no,not high risk
2013,57,0,Female,Caucasian,no,not high risk
2013,34,2,Male,Caucasian,no,not high risk
2013,35,0,Male,Caucasian,no,not high risk
2013,40,1,Male,Hispanic,no,not high risk
2013,22,4,Male,African-American,yes,not high risk
2013,49,0,Male,Caucasian,no,not high risk
2013,27,6,Male,Hispanic,yes,not high risk
2014,26,10,Male,African-American,no,not high risk
2013,23,6,Male,African-American,no,high risk
2013,20,3,Female,Caucasian,no,high risk
2013,19,0,Female,African-American,no,not high risk
2013,28,1,Male,African-American,no,not high risk
2014,27,0,Male,African-American,no,not high risk
2013,22,4,Male,African-American,yes,high risk
2013,28,0,Male,Hispanic,no,not high risk
2013,25,5,Male,Caucasian,no,high risk
2013,23,1,Male,Caucasian,no,not high risk
2014,36,0,Male,African-American,no,not high risk
2013,19,0,Male,Other,no,high risk
2014,57,4,Female,African-American,yes,not high risk
2014,19,0,Male,African-American,no,not high risk
2013,19,0,Female,African-American,no,high risk
2013,26,0,Male,African-American,no,not high risk
2013,20,2,Male,Caucasian,yes,not high risk
2013,28,10,Female,African-American,no,not high risk
2014,43,1,Female,Caucasian,no,not high risk
2013,20,4,Male,African-American,no,not high risk
2013,25,13,Male,African-American,yes,not high risk
2014,36,1,Male,Caucasian,yes,not high risk
2014,45,20,Male,African-American,no,high risk
2013,19,3,Male,African-American,no,not high risk
2014,34,1,Male,African-American,yes,high risk
2014,63,2,Male,African-American,yes,not high risk
2014,33,0,Male,African-American,no,not high risk
2013,30,0,Female,African-American,no,not high risk
2013,50,1,Male,Caucasian,no,not high risk
2013,49,0,Male,Hispanic,no,not high risk
2013,18,0,Male,African-American,no,not high risk
2014,35,11,Male,African-American,no,not high risk
2013,27,4,Male,Other,yes,high risk
2014,31,5,Male,Caucasian,no,not high risk
2013,28,2,Male,African-American,no,not high risk
2014,52,0,Male,Other,no,not high risk
2014,29,0,Female,African-American,no,not high risk
2014,57,2,Female,Caucasian,no,not high risk
2013,24,0,Male,African-American,no,not high risk
2013,34,0,Male,African-American,yes,not high risk
2013,19,3,Male,African-American,no,high risk
2013,25,0,Female,Caucasian,no,not high risk
2013,19,2,Male,African-American,yes,high risk
2013,24,3,Male,African-American,no,not high risk
2013,18,0,Male,Asian,yes,not high risk
2013,29,2,Female,African-American,no,not high risk
2013,29,5,Male,African-American,no,not high risk
2013,34,4,Male,African-American,no,not high risk
2013,34,1,Male,African-American,no,not high risk
2013,50,2,Male,Caucasian,no,not high risk
2014,18,2,Male,African-American,no,high risk
2013,30,4,Male,African-American,yes,high risk
2013,25,2,Male,African-American,no,not high risk
2013,21,1,Male,African-American,no,not high risk
2013,42,1,Male,African-American,no,not high risk
2013,43,0,Male,African-American,no,not high risk
2013,34,6,Male,African-American,no,not high risk
2013,25,10,Male,African-American,yes,high risk
2013,37,1,Male,Caucasian,no,not high risk
2014,51,1,Male,Caucasian,no,not high risk
2013,24,8,Male,African-American,no,not high risk
2014,26,0,Male,African-American,no,not high risk
2014,20,0,Male,Hispanic,no,not high risk
2013,43,2,Female,Caucasian,no,high risk
2013,34,5,Male,African-American,yes,not high risk
2013,41,1,Male,African-American,no,not high risk
2013,42,0,Male,African-American,no,not high risk
2014,20,1,Male,African-American,no,not high risk
2014,24,1,Male,Caucasian,yes,not high risk
2013,58,0,Male,Caucasian,no,not high risk
2013,21,1,Male,Hispanic,no,high risk
2013,18,0,Male,Caucasian,no,not high risk
2014,23,0,Male,Caucasian,yes,not high risk
2013,65,0,Male,Caucasian,no,not high risk
2014,39,2,Male,Caucasian,no,not high risk
2013,18,1,Male,Caucasian,no,not high risk
2014,35,1,Female,Hispanic,no,not high risk
2013,20,0,Male,African-American,no,high risk
2013,38,1,Male,Caucasian,no,not high risk
2013,45,2,Male,African-American,no,not high risk
2013,42,1,Female,Caucasian,no,not high risk
2014,21,6,Male,African-American,yes,high risk
2013,21,0,Male,African-American,no,high risk
2013,26,0,Male,African-American,no,not high risk
2013,22,0,Male,African-American,no,not high risk
2013,47,11,Male,African-American,no,high risk
2013,20,0,Male,African-American,no,not high risk
2013,18,0,Female,Caucasian,no,not high risk
2013,33,0,Male,Other,no,not high risk
2013,50,0,Female,Caucasian,no,not high risk
2014,22,1,Male,Caucasian,no,not high risk
2014,23,1,Female,African-American,no,high risk
2013,68,8,Male,African-American,no,not high risk
2013,36,10,Male,African-American,no,high risk
2014,34,0,Female,African-American,no,not high risk
2013,27,3,Female,African-American,no,not high risk
2013,32,5,Male,Hispanic,no,not high risk
2014,21,0,Female,Other,no,high risk
2014,21,0,Female,African-American,no,not high risk
2013,25,3,Male,Native American,no,not high risk
2013,50,0,Female,African-American,no,not high risk
2013,20,0,Female,African-American,yes,not high risk
2013,22,6,Male,African-American,yes,not high risk
2013,21,2,Male,Other,no,not high risk
2014,25,4,Male,African-American,yes,high risk
2013,24,2,Male,African-American,no,not high risk
2013,26,1,Male,African-American,no,not high risk
2013,25,0,Male,Hispanic,no,not high risk
2013,29,0,Male,African-American,no,not high risk
2013,22,0,Male,Caucasian,no,not high risk
2014,44,0,Male,Caucasian,no,not high risk
2013,34,4,Male,African-American,no,not high risk
2013,32,4,Female,African-American,no,not high risk
2014,19,2,Male,Caucasian,yes,high risk
2013,54,11,Male,African-American,no,not high risk
2013,45,0,Male,Caucasian,no,not high risk
2013,33,0,Male,Other,no,not high risk
2014,34,3,Female,African-American,no,not high risk
2013,28,0,Male,Caucasian,no,not high risk
2013,28,2,Male,Caucasian,no,not high risk
2013,30,22,Male,African-American,yes,high risk
2014,21,0,Female,Other,no,not high risk
2013,61,0,Male,African-American,no,not high risk
2013,27,0,Male,Other,no,not high risk
2013,23,2,Male,Caucasian,yes,not high risk
2013,45,2,Male,Caucasian,no,not high risk
2014,18,0,Male,Caucasian,no,not high risk
2013,22,1,Female,African-American,yes,not high risk
2014,34,1,Female,African-American,no,not high risk
2013,79,0,Male,Hispanic,no,not high risk
2013,25,2,Male,Caucasian,no,not high risk
2014,31,0,Female,African-American,no,not high risk
2013,35,0,Male,African-American,no,not high risk
2013,27,3,Male,Other,no,not high risk
2013,16,1,Female,Caucasian,yes,not high risk
2013,33,11,Male,Hispanic,no,not high risk
2014,27,1,Female,Caucasian,no,not high risk
2014,33,7,Male,African-American,no,not high risk
2014,22,0,Male,African-American,no,not high risk
2013,24,0,Male,Caucasian,no,not high risk
2013,24,8,Male,Caucasian,no,not high risk
2013,49,7,Male,African-American,no,not high risk
2013,25,14,Male,African-American,yes,not high risk
2013,29,0,Male,African-American,no,not high risk
2014,31,1,Female,Caucasian,yes,not high risk
2013,26,16,Male,African-American,no,high risk
2013,40,0,Male,Caucasian,no,not high risk
2014,45,2,Male,Caucasian,no,not high risk
2013,20,1,Female,African-American,no,not high risk
2013,37,2,Male,Caucasian,yes,not high risk
2013,30,0,Male,Other,no,not high risk
2013,18,0,Male,Other,yes,not high risk
2013,40,20,Male,African-American,no,high risk
2013,22,3,Male,African-American,yes,high risk
2014,46,25,Male,African-American,yes,high risk
2013,19,1,Male,African-American,yes,not high risk
2013,49,9,Male,African-American,yes,high risk
2014,24,5,Male,Caucasian,yes,not high risk
2013,31,4,Male,African-American,no,not high risk
2013,53,4,Male,Caucasian,yes,not high risk
2014,27,2,Male,African-American,no,not high risk
2014,35,6,Male,African-American,yes,not high risk
2013,40,3,Male,Other,no,not high risk
2013,48,0,Male,Caucasian,no,not high risk
2014,19,1,Male,African-American,no,high risk
2013,23,4,Male,African-American,yes,high risk
2013,45,1,Male,Caucasian,no,not high risk
2014,24,0,Male,Caucasian,no,not high risk
2013,43,0,Male,Caucasian,no,not high risk
2013,27,1,Female,Hispanic,no,not high risk
2013,21,7,Male,African-American,no,high risk
2013,18,0,Female,Caucasian,no,not high risk
2014,27,1,Male,African-American,no,not high risk
2013,33,9,Male,African-American,no,high risk
2013,27,5,Male,African-American,yes,not high risk
2013,19,1,Female,Caucasian,no,not high risk
2013,21,0,Male,African-American,yes,high risk
2013,21,0,Male,African-American,no,not high risk
2013,37,13,Male,African-American,yes,high risk
2013,43,0,Male,Other,no,not high risk
2013,27,4,Female,African-American,no,not high risk
2013,36,0,Male,Caucasian,no,not high risk
2014,49,0,Female,African-American,no,not high risk
2013,20,3,Male,African-American,no,high risk
2013,24,1,Female,African-American,no,not high risk
2013,39,3,Male,Caucasian,no,not high risk
2014,26,1,Male,African-American,no,not high risk
2013,33,4,Female,Caucasian,no,not high risk
2013,47,1,Male,Caucasian,yes,not high risk
2014,30,1,Male,African-American,no,not high risk
2014,49,3,Male,African-American,no,not high risk
2013,29,4,Male,African-American,no,not high risk
2013,27,1,Female,African-American,no,not high risk
2013,41,0,Male,Hispanic,no,not high risk
2013,23,9,Male,African-American,yes,not high risk
2014,25,1,Male,Hispanic,no,not high risk
2013,54,1,Female,Hispanic,no,not high risk
2013,30,3,Male,African-American,yes,not high risk
2013,40,0,Female,Caucasian,no,not high risk
2013,23,4,Male,Caucasian,yes,not high risk
2014,26,3,Female,Caucasian,no,not high risk
2013,50,0,Female,Caucasian,no,not high risk
2013,21,0,Male,Caucasian,no,not high risk
2013,25,1,Male,Hispanic,no,not high risk
2013,26,1,Male,Hispanic,no,not high risk
2013,22,0,Male,African-American,no,not high risk
2013,49,1,Male,Caucasian,no,not high risk
2013,25,4,Male,African-American,yes,not high risk
2014,20,2,Male,African-American,yes,high risk
2014,30,19,Male,African-American,yes,high risk
2013,60,3,Male,African-American,no,high risk
2013,26,2,Male,Caucasian,no,not high risk
2013,43,0,Male,African-American,no,not high risk
2013,20,5,Male,African-American,yes,high risk
2013,25,1,Male,African-American,no,not high risk
2014,67,0,Female,Hispanic,no,not high risk
2014,45,0,Male,Hispanic,no,not high risk
2013,42,1,Male,Hispanic,no,not high risk
2014,31,1,Female,Caucasian,no,not high risk
2013,30,14,Male,African-American,yes,high risk
2013,22,2,Male,African-American,no,not high risk
2013,44,0,Male,Hispanic,no,not high risk
2014,23,1,Male,Caucasian,no,not high risk
2013,18,1,Male,African-American,no,high risk
2014,20,6,Male,African-American,yes,not high risk
2013,23,0,Female,Caucasian,no,not high risk
2014,18,0,Male,Caucasian,no,not high risk
